model,mean_eval_With_RAG,mean_eval_Without_RAG,median_eval_With_RAG,median_eval_Without_RAG,std_eval_With_RAG,std_eval_Without_RAG,mean_msg_With_RAG,mean_msg_Without_RAG,success_rate_With_RAG,success_rate_Without_RAG,eval_delta_RAG_minus_no_RAG,msg_delta_RAG_minus_no_RAG
Claude Haiku 4.5,5.7143,5.7143,6.0000,8.0000,2.0587,2.9841,8.5714,8.7143,0.8571,0.8571,0.0000,-0.1429
Claude Opus 4.6,8.0000,8.2857,9.0000,9.0000,3.1623,1.7043,7.5714,6.1429,0.8571,1.0000,-0.2857,1.4286
Claude Sonnet 4.6,7.0000,5.4286,8.0000,7.0000,2.3805,3.6450,7.0000,7.8571,1.0000,0.5714,1.5714,-0.8571
GPT OSS 120B,1.5714,2.2857,1.0000,1.0000,2.5071,2.5635,10.0000,9.8571,0.1429,0.4286,-0.7143,0.1429
GPT OSS 20B,1.8571,2.8571,1.0000,1.0000,2.4103,3.9340,11.0000,10.0000,0.1429,0.4286,-1.0000,1.0000
Gemini 3 Flash,8.5714,8.0000,9.0000,8.0000,0.7868,1.1547,5.4286,7.5714,1.0000,1.0000,0.5714,-2.1429
Gemini 3.1 Flash-light,7.7143,6.4286,9.0000,7.0000,2.2887,3.2071,6.0000,8.0000,1.0000,0.7143,1.2857,-2.0000
Gemini 3.1 PRO,9.1429,7.5714,9.0000,9.0000,0.6901,2.4398,4.7143,7.4286,1.0000,0.8571,1.5714,-2.7143
Llama 4 Scout,1.4000,0.4286,0.0000,0.0000,2.1909,1.1339,9.8000,10.0000,0.2857,0.0000,0.9714,-0.2000
OpenAI GPT-5-mini,5.8571,2.2857,6.0000,0.0000,3.4365,3.6839,7.7143,8.2857,0.7143,0.2857,3.5714,-0.5714
OpenAI GPT-5-nano,1.5714,3.7143,1.0000,3.0000,1.7182,3.9036,9.7143,7.7143,0.2857,0.5714,-2.1429,2.0000
OpenAI GPT-5.1,6.0000,2.8571,5.0000,0.0000,2.8868,4.0178,8.1429,8.8571,0.8571,0.2857,3.1429,-0.7143
Qwen3 32B,0.0000,0.1429,0.0000,0.0000,0.0000,0.3780,10.2857,11.1429,0.0000,0.0000,-0.1429,-0.8571
